id,type,dc\.identifier,definition,inScheme,notation,note,prefLabel,topConceptOf,hasTopConcept
https://data.bodemenondergrond.vlaanderen.be/id/concept/erkenningstype/a,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.erkenningstype.a,"Boorwerkzaamheden die vallen onder discipline 1: bemalingen van de VLAREL-erkenning artikel 6, 7°, a) 1).",https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/erkenningstype,a,"Boorwerkzaamheden die vallen onder discipline 1: bemalingen van de VLAREL-erkenning artikel 6, 7°, a) 1).",1. Bemalingen,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/erkenningstype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/erkenningstype/b,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.erkenningstype.b,"Boorwerkzaamheden die vallen onder discipline 2: andere grondwaterwinningen van de VLAREL-erkenning artikel 6, 7°, a) 2). Andere grondwaterwinningen dan de grondwaterwinningen, vermeld in punt 1).",https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/erkenningstype,b,"Boorwerkzaamheden die vallen onder discipline 2: andere grondwaterwinningen van de VLAREL-erkenning artikel 6, 7°, a) 2). Andere grondwaterwinningen dan de grondwaterwinningen, vermeld in punt 1).",2. Andere grondwaterwinningen,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/erkenningstype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/erkenningstype/c,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.erkenningstype.c,"Boorwerkzaamheden die vallen onder discipline 3: stabiliteitsboringen en geotechnische boringen van de VLAREL-erkenning artikel 6, 7°, a) 3). Stabiliteitsboringen en geotechnische boringen, met uitzondering van stabiliteitsboringen en geotechnische boringen als vermeld in rubriek 55.2 en 55.3 van de indelingslijst, vermeld in artikel 5.2.1, § 1, van het decreet Milieubeleid.",https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/erkenningstype,c,"Boorwerkzaamheden die vallen onder discipline 3: stabiliteitsboringen en geotechnische boringen van de VLAREL-erkenning artikel 6, 7°, a) 3). Stabiliteitsboringen en geotechnische boringen, met uitzondering van stabiliteitsboringen en geotechnische boringen als vermeld in rubriek 55.2 en 55.3 van de indelingslijst, vermeld in artikel 5.2.1, § 1, van het decreet Milieubeleid.",3. Stabiliteitsboringen en geotechnische boringen,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/erkenningstype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/erkenningstype/d,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.erkenningstype.d,"Boorwerkzaamheden die vallen onder discipline 4: verticale boringen van de VLAREL-erkenning artikel 6, 7°, a) 4). a) verticale boringen als vermeld in rubriek 55.1 van bijlage 1 bij titel II van het VLAREM, met uitzondering van de boringen, vermeld in punt 3 (discipline 3: stabiliteitsboringen en geotechnische boringen). b) boringen die vallen onder de uitzondering, vermeld in rubriek 55.1 van bijlage 1 bij titel II van het VLAREM, met uitzondering van de boringen, vermeld in punt 3.",https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/erkenningstype,d,"Boorwerkzaamheden die vallen onder discipline 4: verticale boringen van de VLAREL-erkenning artikel 6, 7°, a) 4). a) verticale boringen als vermeld in rubriek 55.1 van bijlage 1 bij titel II van het VLAREM, met uitzondering van de boringen, vermeld in punt 3 (discipline 3: stabiliteitsboringen en geotechnische boringen). b) boringen die vallen onder de uitzondering, vermeld in rubriek 55.1 van bijlage 1 bij titel II van het VLAREM, met uitzondering van de boringen, vermeld in punt 3.",4. Verticale boringen,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/erkenningstype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/erkenningstype/e,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.erkenningstype.e,"Boorwerkzaamheden die vallen onder discipline 5: andere boringen van de VLAREL-erkenning artikel 6, 7°, a) 5) andere boringen: andere boringen dan de boringen, vermeld in punt 1) tot en met 4).",https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/erkenningstype,e,"Boorwerkzaamheden die vallen onder discipline 5: andere boringen van de VLAREL-erkenning artikel 6, 7°, a) 5) andere boringen: andere boringen dan de boringen, vermeld in punt 1) tot en met 4).",5. Andere boringen,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/erkenningstype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/erkenningstype/f,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.erkenningstype.f,"Boorwerkzaamheden die niet moeten uitgevoerd worden door een boorbedrijf dat erkend is volgens VLAREL artikel 6, 7°, a).",https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/erkenningstype,f,"Boorwerkzaamheden die niet moeten uitgevoerd worden door een boorbedrijf dat erkend is volgens VLAREL artikel 6, 7°, a).",buiten VLAREL erkende boorbedrijven,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/erkenningstype,null
https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/erkenningstype,http://www.w3.org/2004/02/skos/core#ConceptScheme,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.erkenningstype,"Discipline(s) mbt mechanische boringen waarvoor een boorbedrijf erkend kan zijn, of aanvraag tot erkenning kan doen volgens VLAREL artikel 6, 7°, a).",null,erkenningstypes,"Discipline(s) mbt mechanische boringen waarvoor een boorbedrijf erkend kan zijn, of aanvraag tot erkenning kan doen volgens VLAREL artikel 6, 7°, a).",Codelijst erkenningstype,null,https://data.bodemenondergrond.vlaanderen.be/id/concept/erkenningstype/a|https://data.bodemenondergrond.vlaanderen.be/id/concept/erkenningstype/b|https://data.bodemenondergrond.vlaanderen.be/id/concept/erkenningstype/c|https://data.bodemenondergrond.vlaanderen.be/id/concept/erkenningstype/d|https://data.bodemenondergrond.vlaanderen.be/id/concept/erkenningstype/e|https://data.bodemenondergrond.vlaanderen.be/id/concept/erkenningstype/f
